,energyConsumption,ms,tx_power_median,ECL_median,Location Coverage,energyConsumptionTx,msTx,duration,interval,psize,tau,Throughput
3815,4.203699999999998,24640.5,-230.0,0.0,1.0,0.02389999999999759,106.25,3600,60.0,20,10010100.0,1505.8823529411764
3816,4.213699999999989,24528.001,-230.0,0.0,1.0,0.02409999999997581,109.501,3600,60.0,20,10010100.0,1461.17387055826
3817,4.198700000000001,24000.0,-230.0,0.0,1.0,0.02359999999998763,103.499,3600,60.0,20,10010100.0,1545.9086561222814
3818,4.197299999999984,24318.499,-230.0,0.0,1.0,0.023200000000002767,103.501,3600,60.0,20,10010100.0,1545.8787837798666
3819,4.178500000000014,24238.25,-230.0,0.0,1.0,0.023500000000012733,106.501,3600,60.0,20,10010100.0,1502.3333114243055
3820,4.201099999999997,24576.25,-220.0,0.0,1.0,0.050700000000006185,259.25,3600,60.0,20,10010100.0,617.1648987463838
3821,4.20089999999999,24496.5,-240.0,0.0,1.0,0.023099999999999454,106.251,3600,60.0,20,10010100.0,1505.8681800641875
3822,4.182799999999986,24227.251,-250.0,0.0,1.0,0.02400000000000091,106.499,3600,60.0,20,10010100.0,1502.361524521357
3823,4.190899999999999,24144.5,-230.0,0.0,1.0,0.05160000000000764,257.25,3600,60.0,20,10010100.0,621.9630709426627
3824,4.191599999999993,24485.75,-230.0,1.0,1.0,0.03319999999999368,153.749,3600,60.0,20,10010100.0,1040.6571750060164
3825,4.199600000000004,24371.251,-230.0,0.0,1.0,0.02230000000000132,100.499,3600,60.0,20,10010100.0,1592.0556423447001
3826,4.196700000000021,24739.501,-240.0,0.0,1.0,0.0227000000000146,103.25,3600,60.0,20,10010100.0,1549.636803874092
3827,4.189600000000013,24181.251,-240.0,0.0,1.0,0.05090000000001282,256.499,3600,60.0,20,10010100.0,623.7841083201104
3828,4.187600000000003,24084.251,-230.0,0.0,1.0,0.022699999999986176,106.249,3600,60.0,20,10010100.0,1505.8965260849511
3829,4.211399999999999,24434.499,-230.0,0.0,1.0,0.02389999999999759,109.501,3600,60.0,20,10010100.0,1461.17387055826
3830,4.198299999999989,24404.5,-240.0,0.0,1.0,0.023499999999984308,106.251,3600,60.0,20,10010100.0,1505.8681800641875
3831,4.023499999999984,24251.499,-230.0,0.0,1.0,0.03810000000001424,145.25,3600,60.0,20,10010100.0,1101.5490533562822
3832,4.1965000000000146,23972.501,-230.0,0.0,1.0,0.021900000000016462,99.75,3600,60.0,20,10010100.0,1604.010025062657
3833,4.193200000000019,24308.25,-220.0,1.0,1.0,0.022599999999982856,103.999,3600,60.0,20,10010100.0,1538.4763315031876
3834,4.194299999999998,24243.0,-220.0,0.0,1.0,0.021900000000016462,101.251,3600,60.0,20,10010100.0,1580.231306357468
3835,4.1898999999999935,24567.25,-220.0,1.0,1.0,0.0508999999999844,260.251,3600,60.0,20,10010100.0,614.7911055096811
3836,4.196899999999999,24450.5,-220.0,0.0,1.0,0.04979999999997632,256.999,3600,60.0,20,10010100.0,622.570515838583
3837,4.165699999999958,23910.249,-220.0,0.0,1.0,0.023999999999972488,106.999,3600,60.0,20,10010100.0,1495.3410779539997
